ID,EYECLR,HCOLOR,SKINCLR,SEX
261,Brown,Brownh,Intskin,M
262,Brown,Black,Intskin,F
267,Blue,Brownh,Pale,F
268,Brown,Black,Intskin,F
269,Brown,Black,Darkskin,F
270,Brown,Brownh,Intskin,F
271,Int,Blonde,Pale,F
277,Brown,Brownh,Pale,M
278,Brown,Brownh,Intskin,F
279,Brown,Brownh,Pale,F
281,Brown,Brownh,Intskin,F
284,Brown,Black,Darkskin,M
285,Brown,Black,Intskin,F
286,Brown,Black,Pale,M
287,Blue,Blonde,Pale,F
289,Brown,Black,Pale,F
291,Int,Blonde,Pale,F
292,Int,Black,Intskin,M
294,Brown,Black,Intskin,M
296,Brown,Brownh,Pale,F
297,Brown,Black,Pale,M
298,Brown,Black,Darkskin,M
300,Brown,Black,Darkskin,M
301,Int,Brownh,Pale,F
302,Blue,Blonde,Intskin,F
303,Brown,Black,Darkskin,F
309,Brown,Black,Intskin,F
312,Brown,Black,Intskin,F
315,Brown,Black,Intskin,M
320,Int,Brownh,Intskin,M
321,Brown,Black,Intskin,M
322,Blue,Blonde,Intskin,F
325,Blue,Blonde,Pale,F
327,Blue,Black,Pale,F
328,Brown,Brownh,Pale,F
329,Brown,Brownh,Pale,M
334,Int,Blonde,Intskin,F
336,Brown,Black,Darkskin,M
337,Blue,Brownh,Intskin,F
338,Int,Blonde,Pale,F
339,Brown,Black,Pale,M
341,Brown,Blonde,Pale,F
342,Brown,Black,Intskin,F
346,Int,Black,Pale,M
348,Int,Blonde,Pale,F
349,Brown,Black,Darkskin,F
350,Brown,Black,Darkskin,M
351,Blue,Blonde,Intskin,F
352,Brown,Brownh,Intskin,M
353,Brown,Brownh,Intskin,F
354,Int,Black,Intskin,F
355,Brown,Black,Darkskin,M
356,Brown,Black,Intskin,F
357,Blue,Blonde,Pale,F
359,Brown,Brownh,Intskin,F
362,Brown,Black,Intskin,M
365,Int,Blonde,Pale,F
367,Brown,Black,Intskin,M
369,Brown,Black,Darkskin,M
371,Blue,Blonde,Intskin,F
373,Brown,Brownh,Pale,F
374,Brown,Brownh,Pale,F
380,Int,Brownh,Pale,M
382,Blue,Blonde,Pale,F
387,Int,Brownh,Pale,F
389,Brown,Black,Intskin,M
391,Int,Brownh,Pale,F
394,Brown,Black,Pale,F
396,Int,Brownh,Pale,F
398,Int,Black,Intskin,M
399,Blue,Blonde,Pale,F
406,Int,Black,Pale,M
409,Brown,Black,Intskin,M
412,Brown,Brownh,Intskin,F
415,Brown,Black,Pale,F
418,Brown,Black,Intskin,M
421,Int,Blonde,Intskin,F
422,Brown,Black,Intskin,F
427,Brown,Black,Intskin,M
428,Brown,Black,Intskin,M
429,Brown,Brownh,Pale,M
430,Brown,Black,Pale,M
431,Int,Blonde,Pale,F
432,Brown,Blonde,Intskin,F
433,Brown,Black,Intskin,M
436,Brown,Brownh,Intskin,F
439,Brown,Black,Darkskin,M
443,Brown,Black,Pale,M
445,Brown,Brownh,Pale,F
452,Blue,Black,Intskin,M
453,Brown,Brownh,Intskin,M
454,Blue,Blonde,Pale,F
456,Brown,Black,Intskin,M
459,Brown,Brownh,Pale,M
466,Int,Brownh,Pale,F
468,Brown,Blonde,Pale,F
469,Int,Brownh,Intskin,F
470,Brown,Brownh,Pale,F
471,Blue,Blonde,Intskin,F
472,Int,Black,Intskin,F
473,Int,Brownh,Pale,M
474,Brown,Brownh,Intskin,M
475,Int,Blonde,Intskin,F
477,Brown,Black,Intskin,M
478,Blue,Blonde,Pale,F
480,Int,Brownh,Intskin,F
481,Int,Black,Intskin,M
483,Int,Blonde,Intskin,F
484,Brown,Black,Pale,M
485,Int,Blonde,Intskin,F
486,Brown,Black,Intskin,M
489,Brown,Black,Intskin,F
490,Brown,Black,Intskin,M
492,Blue,Blonde,Pale,F
495,Brown,Brownh,Pale,F
497,Int,Blonde,Pale,F
499,Int,Blonde,Intskin,F
502,Int,Black,Intskin,F
503,Brown,Blonde,Intskin,F
505,Brown,Black,Intskin,F
507,Brown,Black,Pale,F
510,Int,Blonde,Pale,F
512,Brown,Black,Intskin,M
513,Blue,Blonde,Intskin,F
514,Brown,Black,Intskin,F
515,Int,Black,Intskin,M
516,Int,Blonde,Pale,F
519,Int,Black,Intskin,F
524,Brown,Black,Pale,F
525,Brown,Black,Darkskin,M
527,Brown,Brownh,Pale,F
528,Int,Blonde,Pale,F
529,Brown,Black,Intskin,M
531,Brown,Black,Intskin,F
532,Int,Black,Intskin,F
536,Brown,Black,Darkskin,F
537,Brown,Black,Darkskin,M
540,Int,Black,Pale,F
541,Brown,Brownh,Intskin,F
542,Brown,Brownh,Pale,M
546,Brown,Black,Darkskin,M
548,Brown,Black,Intskin,F
549,Int,Brownh,Intskin,F
552,Brown,Brownh,Pale,M
553,Brown,Brownh,Pale,F
557,Int,Blonde,Pale,F
558,Brown,Black,Pale,M
562,Int,Blonde,Intskin,F
563,Int,Blonde,Pale,M
564,Brown,Brownh,Intskin,M
565,Brown,Black,Intskin,F
567,Int,Blonde,Intskin,F
569,Brown,Black,Intskin,M
571,Brown,Brownh,Intskin,M
575,Int,Brownh,Darkskin,M
579,Int,Blonde,Pale,F
582,Int,Blonde,Pale,F
583,Brown,Black,Intskin,M
586,Brown,Black,Pale,M
588,Blue,Blonde,Pale,F
589,Brown,Black,Intskin,F
590,Brown,Brownh,Pale,M
592,Brown,Black,Intskin,M
594,Blue,Brownh,Intskin,F
595,Brown,Black,Intskin,F
596,Brown,Blonde,Intskin,M
597,Int,Brownh,Intskin,F
598,Blue,Brownh,Intskin,F
600,Brown,Black,Darkskin,F
602,Brown,Brownh,Intskin,F
603,Brown,Black,Intskin,M
605,Brown,Blonde,Pale,F
607,Int,Brownh,Pale,F
609,Int,Brownh,Intskin,F
610,Brown,Brownh,Pale,F
611,Int,Brownh,Pale,F
612,Brown,Black,Pale,F
613,Brown,Brownh,Intskin,F
615,Blue,Blonde,Pale,F
616,Brown,Black,Intskin,F
619,Brown,Black,Darkskin,M
622,Brown,Brownh,Pale,M
630,Brown,Black,Pale,M
631,Brown,Black,Intskin,F
633,Brown,Brownh,Pale,F
634,Int,Blonde,Intskin,F
636,Brown,Black,Intskin,M
638,Brown,Black,Intskin,F
640,Brown,Brownh,Pale,F
642,Brown,Blonde,Pale,F
644,Int,Brownh,Pale,F
645,Brown,Black,Darkskin,F
646,Brown,Brownh,Darkskin,F
647,Brown,Black,Intskin,F
649,Brown,Black,Intskin,M
650,Int,Brownh,Intskin,F
652,Brown,Black,Pale,M
655,Brown,Black,Intskin,M
658,Int,Blonde,Intskin,F
660,Brown,Black,Intskin,M
662,Brown,Brownh,Pale,M
664,Brown,Brownh,Intskin,F
666,Brown,Brownh,Pale,F
669,Brown,Black,Intskin,F
671,Brown,Black,Intskin,M
674,Blue,Black,Intskin,M
679,Brown,Black,Pale,F
682,Brown,Black,Pale,M
683,Brown,Black,Pale,M
685,Int,Brownh,Intskin,M
686,Int,Black,Intskin,M
688,Int,Brownh,Pale,M
689,Brown,Brownh,Intskin,M
691,Brown,Blonde,Pale,F
693,Blue,Blonde,Pale,F
699,Blue,Blonde,Pale,F
700,Int,Black,Intskin,M
705,Brown,Brownh,Pale,M
706,Blue,Brownh,Intskin,M
707,Brown,Black,Darkskin,F
709,Int,Blonde,Intskin,F
715,Blue,Blonde,Intskin,F
716,Brown,Black,Intskin,F
717,Brown,Black,Pale,F
719,Int,Blonde,Pale,F
724,Brown,Black,Intskin,M
727,Brown,Black,Intskin,F
730,Int,Brownh,Intskin,M
732,Brown,Brownh,Pale,M
735,Brown,Black,Darkskin,M
737,Int,Brownh,Pale,F
738,Brown,Black,Intskin,F
741,Int,Brownh,Pale,F
743,Brown,Black,Intskin,F
745,Brown,Black,Pale,M
749,Brown,Black,Pale,F
750,Brown,Black,Darkskin,F
751,Int,Blonde,Pale,F
755,Brown,Brownh,Pale,M
756,Brown,Brownh,Intskin,M
758,Int,Black,Intskin,F
759,Brown,Blonde,Intskin,F
760,Brown,Brownh,Pale,F
763,Brown,Black,Intskin,F
764,Brown,Black,Pale,F
766,Brown,Black,Intskin,F
770,Brown,Brownh,Pale,F
773,Int,Black,Intskin,M
777,Brown,Brownh,Intskin,M
780,Brown,Black,Pale,M
784,Brown,Black,Intskin,M
786,Brown,Black,Intskin,F
787,Blue,Blonde,Pale,F
790,Brown,Black,Intskin,M
791,Brown,Brownh,Pale,M
792,Brown,Black,Intskin,F
797,Blue,Brownh,Intskin,M
800,Blue,Blonde,Intskin,F
806,Brown,Brownh,Pale,F
808,Brown,Black,Darkskin,M
810,Brown,Black,Intskin,F
819,Int,Blonde,Pale,F
822,Int,Blonde,Intskin,F
825,Brown,Black,Intskin,M
828,Int,Brownh,Pale,F
829,Brown,Black,Pale,M
831,Brown,Black,Darkskin,F
834,Brown,Black,Intskin,F
837,Int,Blonde,Pale,F
841,Brown,Black,Intskin,M
844,Brown,Black,Pale,M
848,Brown,Black,Intskin,M
855,Brown,Brownh,Pale,M
856,Int,Blonde,Intskin,F
857,Blue,Blonde,Pale,F
859,Int,Black,Intskin,M
862,Brown,Brownh,Intskin,F
863,Int,Blonde,Intskin,F
865,Brown,Brownh,Intskin,F
870,Brown,Brownh,Pale,F
871,Int,Blonde,Pale,F
872,Int,Blonde,Pale,F
874,Brown,Brownh,Intskin,F
876,Int,Brownh,Pale,F
877,Brown,Brownh,Pale,F
879,Brown,Black,Intskin,M
890,Blue,Brownh,Pale,F
892,Brown,Black,Pale,M
894,Brown,Blonde,Pale,F
896,Brown,Brownh,Pale,F
908,Brown,Black,Intskin,M
909,Brown,Brownh,Pale,F
913,Brown,Brownh,Pale,M
917,Int,Blonde,Intskin,F
918,Blue,Blonde,Intskin,F
919,Brown,Brownh,Intskin,F
920,Brown,Brownh,Intskin,F
922,Brown,Black,Intskin,F
924,Int,Brownh,Intskin,F
929,Brown,Black,Intskin,F
930,Brown,Brownh,Intskin,M
931,Brown,Black,Darkskin,M
935,Blue,Black,Intskin,M
936,Brown,Black,Pale,F
937,Brown,Blonde,Intskin,F
939,Blue,Blonde,Pale,F
941,Brown,Blonde,Pale,F
942,Brown,Brownh,Pale,F
943,Brown,Blonde,Pale,F
945,Brown,Blonde,Intskin,F
947,Brown,Blonde,Pale,F
960,Brown,Brownh,Pale,M
963,Brown,Black,Intskin,F
966,Brown,Black,Intskin,M
968,Brown,Brownh,Pale,F
970,Blue,Blonde,Intskin,F
972,Int,Black,Pale,F
974,Brown,Blonde,Pale,M
975,Brown,Brownh,Pale,M
976,Blue,Blonde,Pale,F
977,Int,Brownh,Pale,M
979,Brown,Black,Intskin,M
985,Blue,Brownh,Intskin,F
986,Brown,Blonde,Pale,F
987,Brown,Black,Intskin,M
989,Brown,Black,Pale,F
990,Brown,Black,Pale,M
991,Brown,Brownh,Pale,F
992,Brown,Brownh,Pale,M
994,Brown,Brownh,Pale,M
