ID,EYECLR,HCOLOR,SKINCLR,SEX
204,Blue,Black,Intskin,F
205,Blue,Brownh,Intskin,M
206,Brown,Black,Intskin,M
208,Brown,Brownh,Intskin,F
212,Brown,Black,Intskin,M
214,Blue,Black,Intskin,M
216,Int,Black,Darkskin,F
218,Int,Blonde,Pale,F
219,Blue,Brownh,Intskin,F
222,Blue,Brownh,Intskin,F
223,Brown,Blonde,Pale,M
225,Blue,Brownh,Pale,F
228,Blue,Blonde,Pale,F
233,Int,Black,Pale,F
239,Brown,Blonde,Intskin,F
241,Blue,Brownh,Intskin,F
243,Blue,Brownh,Intskin,F
245,Brown,Black,Intskin,M
246,Blue,Black,Pale,F
247,Brown,Blonde,Intskin,F
250,Int,Black,Darkskin,M
259,Brown,Brownh,Pale,F
260,Brown,Black,Intskin,F
261,Blue,Brownh,Pale,M
262,Int,Black,Intskin,F
267,Brown,Brownh,Intskin,F
268,Int,Brownh,Intskin,F
269,Brown,Black,Darkskin,F
270,Brown,Brownh,Intskin,F
271,Brown,Blonde,Intskin,F
277,Int,Black,Pale,M
278,Int,Blonde,Intskin,F
279,Blue,Brownh,Intskin,F
281,Brown,Brownh,Pale,F
284,Blue,Black,Darkskin,M
285,Blue,Black,Intskin,F
286,Brown,Black,Intskin,M
287,Brown,Blonde,Intskin,F
289,Brown,Black,Pale,F
291,Brown,Blonde,Intskin,F
292,Int,Black,Darkskin,F
294,Blue,Black,Darkskin,M
296,Blue,Brownh,Intskin,F
297,Brown,Black,Intskin,M
298,Int,Black,Darkskin,M
300,Int,Black,Darkskin,M
301,Blue,Brownh,Pale,F
302,Brown,Blonde,Pale,F
303,Int,Black,Darkskin,F
309,Brown,Brownh,Intskin,F
312,Int,Brownh,Intskin,F
315,Int,Black,Intskin,F
320,Int,Black,Intskin,M
321,Brown,Black,Intskin,M
322,Int,Blonde,Pale,F
325,Brown,Blonde,Intskin,F
327,Blue,Black,Pale,F
328,Brown,Brownh,Intskin,F
329,Brown,Brownh,Intskin,M
334,Blue,Blonde,Intskin,F
336,Brown,Black,Darkskin,M
337,Blue,Brownh,Intskin,F
338,Brown,Blonde,Pale,F
339,Brown,Black,Intskin,M
341,Blue,Blonde,Intskin,F
342,Blue,Black,Intskin,F
346,Brown,Black,Pale,M
348,Int,Blonde,Intskin,F
349,Int,Black,Darkskin,F
350,Brown,Black,Darkskin,M
351,Int,Blonde,Intskin,F
352,Brown,Brownh,Intskin,M
353,Blue,Brownh,Intskin,F
354,Blue,Black,Intskin,F
355,Int,Black,Darkskin,M
356,Brown,Black,Intskin,F
357,Int,Blonde,Intskin,F
359,Int,Brownh,Intskin,F
362,Int,Black,Pale,M
365,Int,Blonde,Intskin,F
367,Brown,Black,Intskin,M
369,Brown,Black,Darkskin,F
371,Blue,Blonde,Pale,F
373,Blue,Brownh,Intskin,F
374,Blue,Black,Pale,F
380,Blue,Brownh,Intskin,M
382,Blue,Blonde,Pale,F
387,Int,Brownh,Pale,F
389,Brown,Brownh,Intskin,M
391,Brown,Brownh,Pale,F
394,Int,Black,Darkskin,F
396,Blue,Brownh,Intskin,F
398,Int,Brownh,Pale,M
399,Blue,Blonde,Pale,F
406,Brown,Black,Intskin,M
409,Brown,Black,Intskin,M
412,Blue,Brownh,Intskin,F
415,Brown,Brownh,Intskin,F
418,Blue,Black,Darkskin,M
421,Int,Blonde,Intskin,F
422,Blue,Black,Intskin,F
427,Brown,Black,Intskin,M
428,Blue,Brownh,Intskin,M
429,Blue,Brownh,Intskin,M
430,Brown,Black,Intskin,M
431,Blue,Blonde,Pale,F
432,Brown,Blonde,Pale,F
433,Int,Black,Darkskin,M
436,Brown,Brownh,Intskin,F
439,Blue,Black,Darkskin,M
443,Blue,Brownh,Intskin,M
445,Brown,Brownh,Intskin,F
452,Brown,Black,Intskin,M
453,Brown,Brownh,Intskin,M
454,Brown,Blonde,Intskin,F
456,Blue,Black,Intskin,M
459,Blue,Brownh,Intskin,M
466,Brown,Brownh,Intskin,F
468,Blue,Blonde,Intskin,F
469,Brown,Brownh,Pale,F
470,Brown,Brownh,Pale,F
471,Brown,Blonde,Intskin,F
472,Brown,Brownh,Pale,F
473,Blue,Brownh,Intskin,M
474,Brown,Brownh,Intskin,M
475,Brown,Blonde,Intskin,F
477,Blue,Black,Intskin,M
478,Blue,Blonde,Pale,F
480,Brown,Brownh,Intskin,F
481,Brown,Brownh,Pale,M
483,Brown,Blonde,Intskin,F
484,Brown,Black,Intskin,F
485,Brown,Blonde,Pale,F
486,Brown,Black,Intskin,M
489,Blue,Black,Intskin,F
490,Brown,Black,Intskin,M
492,Brown,Blonde,Pale,F
495,Int,Brownh,Intskin,F
497,Int,Blonde,Pale,F
499,Blue,Blonde,Intskin,F
502,Brown,Black,Intskin,F
503,Brown,Blonde,Pale,F
505,Brown,Black,Intskin,F
507,Int,Black,Pale,F
510,Int,Blonde,Intskin,F
512,Blue,Black,Darkskin,M
513,Blue,Blonde,Intskin,F
514,Brown,Brownh,Intskin,F
515,Blue,Black,Intskin,M
516,Int,Blonde,Pale,F
519,Brown,Brownh,Intskin,F
524,Brown,Black,Intskin,F
525,Blue,Black,Darkskin,F
527,Brown,Brownh,Intskin,F
528,Brown,Blonde,Pale,F
529,Brown,Black,Intskin,M
531,Int,Black,Intskin,F
532,Brown,Brownh,Intskin,F
536,Blue,Black,Darkskin,M
537,Int,Black,Darkskin,M
540,Int,Black,Pale,F
541,Brown,Brownh,Intskin,F
542,Blue,Brownh,Intskin,M
546,Brown,Black,Darkskin,M
548,Blue,Black,Intskin,F
549,Blue,Brownh,Intskin,F
552,Brown,Brownh,Intskin,M
553,Int,Brownh,Pale,F
557,Brown,Brownh,Pale,F
558,Blue,Brownh,Pale,M
562,Brown,Blonde,Pale,F
563,Brown,Blonde,Intskin,M
564,Int,Black,Intskin,M
565,Brown,Brownh,Intskin,F
567,Int,Blonde,Intskin,F
569,Brown,Black,Intskin,M
571,Brown,Black,Intskin,M
575,Blue,Brownh,Intskin,M
579,Int,Blonde,Pale,F
582,Blue,Blonde,Intskin,F
583,Brown,Black,Pale,M
586,Brown,Black,Pale,M
588,Brown,Blonde,Intskin,F
589,Blue,Black,Intskin,F
590,Brown,Brownh,Intskin,M
592,Brown,Brownh,Intskin,M
594,Blue,Black,Intskin,F
595,Int,Black,Intskin,F
596,Blue,Blonde,Intskin,M
597,Brown,Brownh,Intskin,F
598,Blue,Brownh,Intskin,F
600,Brown,Black,Intskin,F
602,Blue,Blonde,Intskin,F
603,Blue,Black,Intskin,M
605,Blue,Blonde,Pale,F
607,Brown,Brownh,Pale,F
609,Brown,Brownh,Intskin,F
610,Brown,Black,Pale,F
611,Brown,Brownh,Intskin,F
612,Blue,Black,Intskin,F
613,Brown,Brownh,Intskin,F
615,Brown,Blonde,Intskin,F
616,Brown,Black,Intskin,F
619,Brown,Black,Darkskin,M
622,Int,Brownh,Pale,M
630,Brown,Black,Intskin,M
631,Blue,Black,Intskin,F
633,Brown,Black,Intskin,F
634,Brown,Blonde,Pale,F
636,Int,Black,Intskin,M
638,Blue,Black,Darkskin,F
640,Blue,Black,Intskin,F
642,Blue,Blonde,Intskin,F
644,Brown,Blonde,Pale,F
645,Blue,Black,Darkskin,F
646,Brown,Brownh,Intskin,F
647,Int,Black,Darkskin,F
649,Int,Black,Intskin,M
650,Brown,Brownh,Intskin,F
652,Brown,Black,Intskin,M
655,Brown,Black,Intskin,M
658,Blue,Blonde,Intskin,F
660,Brown,Black,Intskin,M
662,Brown,Brownh,Pale,M
664,Brown,Brownh,Intskin,F
666,Brown,Blonde,Pale,F
669,Int,Black,Intskin,F
671,Blue,Black,Intskin,M
674,Int,Black,Intskin,M
679,Brown,Black,Intskin,F
682,Brown,Black,Intskin,M
683,Brown,Black,Pale,M
685,Blue,Brownh,Intskin,M
686,Int,Black,Intskin,M
688,Brown,Brownh,Pale,M
689,Blue,Brownh,Intskin,M
691,Brown,Brownh,Pale,F
693,Brown,Blonde,Pale,F
699,Int,Blonde,Pale,F
700,Brown,Black,Intskin,M
705,Brown,Brownh,Intskin,M
706,Blue,Brownh,Intskin,M
707,Blue,Black,Darkskin,F
709,Int,Blonde,Pale,F
715,Int,Blonde,Pale,F
716,Blue,Black,Intskin,F
717,Blue,Black,Pale,F
719,Int,Blonde,Pale,F
724,Brown,Black,Intskin,M
727,Blue,Black,Intskin,F
730,Int,Brownh,Pale,M
732,Brown,Brownh,Intskin,M
735,Brown,Black,Darkskin,M
737,Brown,Brownh,Intskin,F
738,Blue,Black,Intskin,F
741,Blue,Brownh,Intskin,F
743,Int,Black,Darkskin,F
745,Brown,Black,Intskin,M
749,Int,Brownh,Intskin,F
750,Int,Black,Darkskin,F
751,Brown,Blonde,Pale,F
755,Blue,Brownh,Intskin,M
756,Blue,Brownh,Intskin,M
758,Brown,Black,Intskin,F
759,Brown,Blonde,Pale,F
760,Brown,Brownh,Pale,F
763,Int,Black,Intskin,F
764,Blue,Black,Intskin,F
766,Brown,Black,Intskin,F
770,Blue,Blonde,Pale,F
773,Int,Black,Intskin,M
777,Brown,Black,Intskin,F
780,Brown,Black,Intskin,M
784,Blue,Black,Intskin,M
786,Blue,Brownh,Intskin,F
787,Blue,Blonde,Pale,F
790,Int,Black,Intskin,M
791,Brown,Blonde,Intskin,M
792,Int,Brownh,Pale,F
797,Int,Brownh,Intskin,M
800,Blue,Blonde,Intskin,F
806,Blue,Brownh,Pale,F
808,Int,Black,Darkskin,M
810,Brown,Black,Pale,F
819,Int,Blonde,Intskin,F
822,Brown,Blonde,Intskin,F
825,Int,Black,Intskin,M
828,Brown,Brownh,Intskin,F
829,Blue,Black,Intskin,M
831,Blue,Black,Darkskin,F
834,Brown,Brownh,Intskin,F
837,Blue,Blonde,Pale,F
841,Blue,Black,Intskin,M
844,Brown,Black,Pale,M
848,Int,Black,Intskin,M
855,Brown,Brownh,Pale,M
856,Blue,Blonde,Intskin,F
857,Brown,Blonde,Intskin,F
859,Brown,Black,Intskin,M
862,Brown,Brownh,Intskin,F
863,Blue,Blonde,Intskin,F
865,Blue,Brownh,Intskin,F
870,Int,Black,Intskin,F
871,Brown,Blonde,Pale,F
872,Int,Blonde,Pale,F
874,Brown,Brownh,Intskin,F
876,Int,Brownh,Intskin,F
877,Brown,Brownh,Intskin,F
879,Brown,Black,Darkskin,M
890,Brown,Brownh,Intskin,F
892,Blue,Brownh,Pale,M
894,Brown,Blonde,Intskin,F
896,Int,Brownh,Intskin,F
908,Int,Black,Intskin,M
909,Blue,Brownh,Intskin,F
913,Brown,Brownh,Intskin,M
917,Brown,Blonde,Intskin,F
918,Int,Blonde,Intskin,F
919,Blue,Brownh,Intskin,F
920,Blue,Brownh,Pale,F
922,Brown,Black,Pale,F
924,Brown,Brownh,Intskin,F
929,Brown,Black,Darkskin,F
930,Brown,Brownh,Pale,M
931,Brown,Black,Darkskin,M
935,Int,Brownh,Intskin,M
936,Brown,Black,Intskin,F
937,Blue,Brownh,Intskin,F
939,Blue,Blonde,Pale,F
941,Brown,Blonde,Intskin,F
942,Int,Brownh,Intskin,F
943,Blue,Blonde,Pale,F
945,Brown,Blonde,Intskin,F
947,Int,Blonde,Intskin,F
960,Brown,Brownh,Intskin,M
963,Blue,Black,Intskin,F
966,Blue,Black,Intskin,M
968,Blue,Brownh,Intskin,F
970,Brown,Blonde,Intskin,F
972,Blue,Black,Intskin,M
974,Brown,Blonde,Intskin,F
975,Brown,Brownh,Pale,M
976,Brown,Blonde,Intskin,F
977,Brown,Brownh,Pale,M
979,Int,Black,Intskin,M
985,Brown,Blonde,Intskin,F
986,Brown,Blonde,Intskin,F
987,Brown,Black,Intskin,M
989,Blue,Black,Pale,F
990,Brown,Black,Intskin,M
991,Int,Black,Intskin,F
992,Brown,Brownh,Intskin,M
994,Int,Brownh,Intskin,M
